,ticker,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
113,CPRT,136.41,135.11,134.02 x 800,134.09 x 800,133.04 - 135.03,101.92 - 161.12,"417,487","793,044",31.892B,1.05,32.40,4.15,"Feb 16, 2022 - Feb 21, 2022",N/A (N/A),N/A,170.11
114,GLW,37.97,37.91,0.00 x 1000,0.00 x 1100,37.16 - 38.10,35.03 - 46.82,"4,444,499","4,117,249",32.088B,1.08,37.45,1.00,"Jan 26, 2022",0.96 (2.55%),"Nov 10, 2021",44.31
115,CTVA,48.86,48.82,48.50 x 800,49.25 x 1300,48.54 - 49.41,36.54 - 49.98,"1,839,308","2,542,300",35.644B,0.79,22.21,2.20,"Feb 02, 2022",0.56 (1.16%),"Nov 10, 2021",53.37
116,COST,525.80,527.64,516.34 x 800,520.90 x 1100,515.23 - 528.75,307.00 - 571.49,"2,148,381","2,320,049",229.201B,0.64,44.44,11.63,"Mar 03, 2022",3.16 (0.60%),"Oct 28, 2021",556.15
117,CTRA,21.36,21.65,0.00 x 1400,0.00 x 1400,20.74 - 21.70,14.28 - 23.64,"6,960,939","8,253,673",17.289B,-0.13,24.18,0.88,"Feb 21, 2022 - Feb 25, 2022",0.45 (2.08%),"Nov 12, 2021",27.69
118,CCI,190.67,190.95,0.00 x 800,0.00 x 1000,185.98 - 190.95,146.15 - 209.87,"2,397,901","1,723,680",81.077B,0.48,65.34,2.87,"Jan 25, 2022 - Jan 31, 2022",5.88 (3.02%),"Dec 14, 2021",200.59
119,CSX,36.54,36.55,36.24 x 2900,36.25 x 1400,35.47 - 36.60,27.70 - 38.01,"10,154,853","11,750,466",80.435B,1.22,22.82,1.59,"Jan 20, 2022",0.37 (1.02%),"Nov 29, 2021",39.40
120,CMI,231.66,232.20,234.68 x 800,237.02 x 1100,232.20 - 238.05,203.38 - 277.09,"757,578","961,528",33.753B,1.07,15.51,15.21,"Feb 03, 2022",5.80 (2.50%),"Nov 18, 2021",276.99
121,CVS,105.78,105.25,104.97 x 800,105.99 x 800,104.18 - 105.97,68.02 - 107.26,"6,447,332","5,901,847",139.055B,0.84,18.39,5.73,"Feb 09, 2022",2.20 (2.08%),"Jan 20, 2022",113.04
122,DHI,99.43,103.66,99.46 x 800,99.48 x 900,98.89 - 104.16,68.38 - 110.45,"3,775,234","2,857,412",35.533B,1.63,8.74,11.41,"Feb 02, 2022",0.90 (0.91%),"Dec 03, 2021",119.06
123,DHR,306.38,304.80,291.94 x 1000,293.99 x 1000,290.95 - 306.37,211.22 - 333.96,"3,408,714","2,653,558",208.692B,0.70,37.05,7.88,"Jan 27, 2022",0.84 (0.27%),"Dec 29, 2021",351.42
124,DRI,143.55,144.08,141.42 x 800,144.84 x 1100,143.53 - 146.46,110.89 - 164.28,"599,184","1,174,288",18.479B,1.45,20.68,6.99,"Mar 23, 2022 - Mar 28, 2022",4.40 (3.07%),"Jan 07, 2022",166.87
125,DVA,113.76,114.07,115.17 x 800,115.26 x 900,113.10 - 115.44,94.38 - 136.48,"402,673","855,165",11.744B,1.20,13.46,8.56,"Feb 09, 2022 - Feb 14, 2022",N/A (N/A),N/A,125.75
126,DE,376.25,378.68,379.00 x 800,380.47 x 800,378.58 - 384.20,278.95 - 400.34,"1,241,531","1,689,895",117.235B,1.06,20.03,18.99,"Feb 18, 2022",4.20 (1.12%),"Dec 30, 2021",408.52
127,DAL,40.61,41.08,41.32 x 1000,41.33 x 1000,40.45 - 42.54,33.40 - 52.28,"22,548,508","13,481,022",26.541B,1.30,N/A,-0.11,"Jan 13, 2022",N/A (N/A),"Feb 19, 2020",52.26
128,DVN,49.90,50.00,49.65 x 1400,49.46 x 1200,49.29 - 50.84,16.11 - 51.16,"9,447,830","10,570,801",33.606B,3.06,24.65,2.01,"Feb 15, 2022",0.44 (0.88%),"Dec 09, 2021",52.30
129,DXCM,481.17,486.46,498.75 x 800,498.93 x 800,483.65 - 501.36,318.45 - 659.45,"628,672","729,209",48.07B,0.76,93.54,5.30,"Feb 10, 2022",N/A (N/A),N/A,635.88
130,FANG,124.57,124.19,124.03 x 800,126.96 x 800,123.54 - 127.27,56.13 - 127.27,"2,605,344","2,747,298",22.48B,2.52,48.45,2.56,"Feb 22, 2022",2.00 (1.61%),"Nov 10, 2021",136.47
131,DLR,158.95,159.21,157.00 x 1000,164.98 x 1100,157.15 - 159.88,124.65 - 178.22,"899,808","1,242,157",44.731B,0.22,66.48,2.37,"Feb 17, 2022",4.64 (2.92%),"Dec 14, 2021",172.43
132,DFS,127.80,128.62,129.56 x 2200,129.44 x 900,128.38 - 130.81,81.27 - 135.69,"1,988,192","1,828,392",37.924B,1.69,7.74,16.72,"Jan 19, 2022",2.00 (1.56%),"Nov 23, 2021",142.83
133,DISCA,28.79,28.86,29.27 x 800,29.28 x 800,28.44 - 30.01,21.66 - 78.14,"8,935,805","7,220,060",14.642B,1.31,19.63,1.50,"Feb 21, 2022 - Feb 25, 2022",N/A (N/A),N/A,39.22
134,DISCK,27.95,28.05,28.37 x 800,28.34 x 1100,27.75 - 29.09,20.86 - 66.70,"4,651,737","3,902,215",14.599B,1.31,19.00,1.50,"Nov 05, 2020",N/A (N/A),N/A,33.67
135,DISH,36.37,35.83,35.80 x 1000,36.10 x 1200,34.89 - 36.55,28.53 - 47.05,"396,147","2,757,787",18.788B,2.10,8.54,4.16,"Feb 21, 2022 - Feb 25, 2022",N/A (N/A),"Dec 12, 2012",49.61
136,DG,236.31,235.97,0.00 x 800,236.38 x 1300,227.52 - 236.99,173.50 - 240.14,"2,615,670","1,628,953",52.98B,0.50,22.35,10.23,"Mar 16, 2022 - Mar 21, 2022",1.68 (0.71%),"Jan 03, 2022",248.36
137,DLTR,136.90,137.69,133.92 x 1000,135.00 x 1000,133.78 - 137.74,84.26 - 149.37,"5,533,514","3,566,431",30.173B,0.75,22.57,5.94,"Mar 01, 2022 - Mar 07, 2022",N/A (N/A),N/A,154.63
138,D,79.83,80.00,0.00 x 1100,0.00 x 800,78.70 - 80.18,67.85 - 81.08,"2,892,834","3,202,449",64.088B,0.44,24.95,3.17,"Feb 10, 2022 - Feb 14, 2022",2.52 (3.16%),"Dec 02, 2021",84.84
139,DPZ,502.65,503.66,489.25 x 800,500.80 x 900,485.67 - 509.01,319.71 - 567.57,"832,133","462,506",17.686B,0.54,36.92,13.18,"Feb 23, 2022 - Feb 28, 2022",3.76 (0.75%),"Dec 14, 2021",528.52
140,DOV,179.35,180.19,179.17 x 1000,0.00 x 800,176.64 - 181.00,115.88 - 184.05,"489,741","649,350",26.022B,1.38,27.85,6.49,"Jan 26, 2022 - Jan 31, 2022",2.00 (1.12%),"Nov 29, 2021",194.80
141,DOW,59.26,59.30,59.71 x 800,59.89 x 900,59.21 - 60.23,51.33 - 71.38,"3,583,854","5,597,431",44.332B,1.62,7.78,7.70,"Jan 27, 2022",2.80 (4.73%),"Nov 29, 2021",64.77
142,DTE,116.82,117.32,117.09 x 800,117.19 x 1100,116.50 - 117.41,98.45 - 123.77,"34,891","987,682",22.676B,0.67,25.92,4.51,"Feb 17, 2022 - Feb 21, 2022",3.54 (3.03%),"Dec 17, 2021",127.41
143,DUK,103.47,102.81,104.40 x 1000,104.50 x 800,102.26 - 104.97,85.56 - 108.38,"2,990,064","2,653,287",80.396B,0.33,26.73,3.91,"Feb 09, 2022 - Feb 14, 2022",3.94 (3.77%),"Feb 17, 2022",106.98
144,DRE,65.64,65.64,63.25 x 800,64.32 x 800,63.11 - 65.80,37.61 - 66.22,"1,366,236","1,436,182",24.588B,0.62,26.50,2.44,"Jan 25, 2022 - Jan 31, 2022",1.12 (1.71%),"Nov 15, 2021",N/A
145,DD,81.97,82.06,0.00 x 800,0.00 x 1000,81.50 - 83.09,66.37 - 87.27,"1,935,953","2,837,044",43.018B,1.27,7.67,10.82,"Feb 07, 2022 - Feb 11, 2022",1.20 (1.46%),"Nov 29, 2021",91.78
146,DXC,33.48,33.83,34.03 x 900,34.40 x 800,33.54 - 34.57,24.17 - 44.18,"937,916","1,709,160",8.599B,2.40,22.43,1.52,"Feb 02, 2022",N/A (N/A),"Mar 24, 2020",42.38
147,EMN,122.89,123.80,124.00 x 800,126.08 x 800,123.64 - 128.00,96.27 - 130.47,"1,782,088","1,065,796",17.003B,1.56,33.94,3.73,"Jan 27, 2022",3.04 (2.47%),"Dec 14, 2021",137.62
148,ETN,171.46,171.54,171.06 x 800,170.60 x 1000,170.37 - 172.29,114.01 - 175.72,"1,100,431","1,520,880",68.232B,1.19,33.22,5.15,"Jan 31, 2022 - Feb 04, 2022",3.04 (1.77%),"Nov 10, 2021",184.76
149,EBAY,66.32,65.72,64.54 x 2200,64.54 x 800,63.72 - 66.33,51.51 - 81.19,"5,772,936","7,296,409",40.421B,1.12,3.53,18.28,"Feb 01, 2022 - Feb 07, 2022",0.72 (1.09%),"Nov 30, 2021",78.14
150,ECL,234.59,234.68,229.39 x 800,229.83 x 800,228.62 - 235.24,201.15 - 238.93,"691,391","927,768",65.862B,1.01,58.77,3.91,"Feb 14, 2022 - Feb 21, 2022",2.04 (0.87%),"Dec 13, 2021",235.06
151,EIX,65.00,65.00,65.46 x 900,65.49 x 800,64.61 - 65.52,53.92 - 68.62,"1,700,004","2,157,061",24.819B,0.69,32.55,2.01,"Feb 23, 2022 - Feb 28, 2022",2.80 (4.31%),"Dec 30, 2021",71.28
152,EW,122.26,122.57,120.00 x 800,120.34 x 800,120.05 - 122.88,78.44 - 131.73,"1,408,796","2,352,358",75.207B,1.09,51.81,2.33,"Jan 26, 2022",N/A (N/A),N/A,129.52
153,EA,132.50,133.03,131.21 x 900,131.23 x 800,130.51 - 133.03,120.08 - 150.30,"1,273,471","2,475,546",37.003B,0.87,48.19,2.71,"Feb 01, 2022",0.68 (0.52%),"Dec 07, 2021",171.16
154,EMR,96.92,97.21,97.08 x 3200,97.10 x 900,96.93 - 98.30,78.33 - 105.99,"2,077,149","2,904,939",57.95B,1.51,25.47,3.82,"Feb 02, 2022",2.06 (2.13%),"Nov 10, 2021",109.83
155,ENPH,149.28,156.64,143.60 x 1100,144.25 x 800,143.20 - 157.36,108.88 - 282.46,"2,757,256","2,510,360",19.359B,1.18,124.56,1.15,"Feb 07, 2022 - Feb 11, 2022",N/A (N/A),N/A,254.08
156,ETR,112.65,112.65,111.23 x 800,111.29 x 1100,110.44 - 112.65,85.78 - 115.02,"634,866","1,109,868",22.369B,0.61,18.01,6.18,"Feb 22, 2022 - Feb 28, 2022",4.04 (3.59%),"Nov 12, 2021",117.86
157,EOG,102.02,101.50,101.95 x 900,101.89 x 900,100.62 - 103.35,50.08 - 103.50,"3,421,116","4,132,211",59.679B,2.00,19.66,5.19,"Feb 24, 2022",3.00 (2.92%),"Jan 13, 2022",113.72
158,EPAM,571.11,571.11,542.58 x 800,682.00 x 800,540.49 - 576.37,333.68 - 725.40,"516,255","641,209",30.664B,1.44,74.97,7.21,"Feb 16, 2022 - Feb 21, 2022",N/A (N/A),N/A,785.00
159,EQIX,764.46,767.77,752.99 x 800,754.10 x 1000,751.40 - 767.77,586.73 - 885.26,"206,922","428,485",67.861B,0.36,158.90,4.74,"Feb 16, 2022",11.48 (1.50%),"Nov 16, 2021",888.52
160,EQR,90.50,90.78,90.71 x 900,90.75 x 900,89.23 - 91.01,56.79 - 91.20,"785,362","1,449,255",34.048B,0.81,32.16,2.82,"Feb 08, 2022 - Feb 14, 2022",2.41 (2.66%),"Dec 31, 2021",91.22
161,ESS,342.67,343.98,343.84 x 800,344.39 x 1000,342.40 - 345.28,226.79 - 357.90,"9,060","278,300",22.401B,0.75,50.10,6.87,"Feb 02, 2022 - Feb 07, 2022",8.36 (2.44%),"Dec 31, 2021",363.36
162,EL,345.55,345.55,333.00 x 900,333.08 x 800,332.02 - 346.73,231.97 - 374.20,"1,243,299","1,235,884",120.359B,1.02,40.54,8.25,"Feb 03, 2022",2.40 (0.69%),"Nov 29, 2021",378.58
163,ETSY,178.06,179.19,166.91 x 900,166.72 x 1000,166.46 - 179.55,153.80 - 307.75,"2,636,704","2,396,019",21.147B,1.55,49.54,3.37,"Feb 23, 2022 - Feb 28, 2022",N/A (N/A),N/A,255.78
164,EVRG,66.75,66.79,66.87 x 1000,66.92 x 1000,66.42 - 66.90,51.92 - 69.45,"54,406","1,147,680",15.329B,0.43,17.43,3.84,"Feb 24, 2022 - Feb 28, 2022",2.29 (3.43%),"Nov 18, 2021",70.50
165,ES,91.14,91.06,91.27 x 800,91.02 x 800,90.22 - 91.46,76.64 - 92.66,"928,077","1,234,215",31.279B,0.40,26.43,3.44,"Feb 14, 2022 - Feb 18, 2022",2.41 (2.65%),"Dec 16, 2021",91.50
166,RE,269.25,274.99,276.06 x 1000,276.79 x 1000,272.67 - 277.65,209.63 - 289.68,"35,991","225,985",10.854B,0.69,10.90,25.30,"Feb 09, 2022",6.20 (2.27%),"Nov 30, 2021",N/A
167,EXC,56.82,56.77,55.60 x 2200,55.61 x 900,55.11 - 56.84,38.35 - 58.01,"9,588,258","5,518,998",54.414B,0.50,32.53,1.71,"Feb 22, 2022 - Feb 28, 2022",1.53 (2.69%),"Nov 12, 2021",59.65
168,EXPE,181.25,181.26,185.16 x 1100,189.80 x 800,180.64 - 190.15,118.30 - 191.85,"2,777,739","2,498,452",28.042B,1.63,N/A,-6.51,"Feb 09, 2022 - Feb 14, 2022",N/A (N/A),"Mar 09, 2020",192.65
169,EXPD,130.76,131.53,131.39 x 1000,131.63 x 1100,130.90 - 132.03,88.82 - 137.80,"57,413","1,130,777",22.277B,0.79,19.46,6.76,"Feb 22, 2022",1.16 (0.89%),"Nov 30, 2021",119.71
170,EXR,208.45,204.33,207.45 x 800,207.66 x 900,203.49 - 208.68,109.42 - 228.84,"764,461","647,347",27.918B,0.35,38.73,5.38,"Feb 21, 2022 - Feb 25, 2022",5.00 (2.40%),"Dec 14, 2021",221.29
171,XOM,71.14,71.12,70.38 x 2200,70.39 x 1800,70.31 - 71.58,44.29 - 71.81,"19,748,338","20,671,974",300.932B,1.35,N/A,-1.39,"Feb 01, 2022",3.52 (4.93%),"Nov 10, 2021",73.40
172,FFIV,239.67,240.82,236.99 x 800,236.09 x 1300,235.85 - 241.79,174.34 - 249.00,"242,750","445,606",14.473B,1.06,44.27,5.34,"Jan 25, 2022",N/A (N/A),N/A,249.13
173,FDS,479.51,484.53,485.01 x 900,484.23 x 800,482.25 - 488.41,294.21 - 488.41,"185,766","329,643",18.28B,0.75,46.12,10.53,"Dec 21, 2021",3.28 (0.68%),"Nov 29, 2021",437.08
174,FAST,60.63,60.03,59.82 x 1000,59.86 x 900,59.63 - 60.30,43.37 - 64.75,"833,314","2,812,409",34.487B,1.23,38.94,1.54,"Jan 19, 2022",1.12 (1.85%),"Oct 25, 2021",54.22
175,FRT,134.37,133.78,133.23 x 800,141.00 x 900,132.41 - 134.21,81.85 - 140.51,"562,237","445,328",10.437B,1.14,44.49,3.02,"Feb 09, 2022 - Feb 14, 2022",4.28 (3.19%),"Dec 31, 2021",137.47
176,FDX,256.21,257.21,256.50 x 1000,256.99 x 1100,256.30 - 260.11,216.34 - 319.90,"1,636,556","2,292,812",68.275B,1.31,14.17,18.18,"Mar 17, 2022",3.00 (1.17%),"Dec 10, 2021",310.59
177,FIS,117.51,118.16,117.36 x 800,117.35 x 1200,117.22 - 119.91,101.79 - 155.96,"2,847,230","4,352,996",71.514B,0.75,326.22,0.36,"Feb 15, 2022",1.56 (1.33%),"Dec 10, 2021",148.23
178,FITB,49.20,49.58,49.46 x 2200,49.43 x 1000,49.31 - 50.15,28.25 - 50.15,"5,338,766","4,314,379",33.811B,1.45,13.69,3.62,"Jan 20, 2022",1.20 (2.44%),"Dec 30, 2021",50.10
179,FE,41.41,41.27,41.52 x 1300,41.53 x 1100,41.06 - 41.60,29.86 - 41.75,"4,731,344","3,301,025",23.674B,0.36,20.64,2.01,"Feb 16, 2022 - Feb 21, 2022",1.56 (3.77%),"Feb 04, 2022",43.14
180,FRC,202.62,203.21,198.84 x 3200,198.44 x 900,197.97 - 203.49,143.60 - 222.86,"998,591","755,198",35.493B,1.11,27.26,7.26,"Jan 14, 2022",0.88 (0.43%),"Oct 27, 2021",225.19
181,FISV,108.50,108.50,109.12 x 1000,110.28 x 800,108.20 - 110.97,92.06 - 127.34,"3,204,943","4,667,450",71.926B,0.84,56.45,1.93,"Feb 08, 2022",N/A (N/A),N/A,131.44
182,FMC,108.21,107.81,106.39 x 900,106.53 x 800,106.12 - 107.86,87.27 - 123.66,"147,726","826,831",13.529B,0.88,23.36,4.57,"Feb 08, 2022",2.12 (1.96%),"Dec 30, 2021",121.94
183,F,24.47,24.64,25.01 x 3200,25.02 x 800,24.37 - 25.87,9.79 - 25.87,"178,903,041","102,369,428",99.986B,1.10,35.09,0.71,"Feb 02, 2022 - Feb 07, 2022",0.40 (1.64%),"Jan 28, 2022",20.64
184,FTNT,323.56,325.54,318.00 x 800,321.25 x 900,318.21 - 330.25,143.63 - 371.77,"1,402,789","1,298,756",52.449B,1.15,96.57,3.32,"Feb 03, 2022",N/A (N/A),N/A,371.14
185,FTV,74.50,74.78,75.13 x 1100,75.17 x 900,74.72 - 75.21,64.58 - 79.87,"105,947","1,837,664",26.897B,1.20,16.36,4.58,"Feb 02, 2022 - Feb 07, 2022",0.28 (0.38%),"Nov 24, 2021",86.00
186,FOX,34.51,34.56,34.32 x 800,34.33 x 1200,34.04 - 34.57,28.00 - 42.14,"109,838","1,264,791",20.442B,1.13,11.61,2.96,N/A,0.48 (1.39%),"Aug 31, 2021",51.50
187,BEN,35.12,35.19,35.02 x 800,35.26 x 800,34.86 - 35.50,24.91 - 38.27,"2,116,533","2,664,669",17.553B,1.22,9.78,3.57,"Jan 31, 2022 - Feb 04, 2022",1.16 (3.30%),"Dec 30, 2021",37.50
188,FCX,45.00,44.50,44.35 x 1000,44.59 x 2200,44.24 - 45.66,24.71 - 46.10,"21,707,281","17,453,134",65.097B,2.07,16.79,2.64,"Jan 26, 2022",0.30 (0.70%),"Jan 13, 2022",42.80
189,GPS,17.75,17.99,18.70 x 1100,18.71 x 1000,17.92 - 18.98,15.84 - 37.63,"6,176,675","8,925,941",6.996B,1.74,14.16,1.32,"Mar 02, 2022 - Mar 07, 2022",0.48 (2.70%),"Jan 04, 2022",23.29
190,GRMN,132.00,132.20,132.28 x 1000,132.32 x 900,130.90 - 132.80,113.59 - 178.81,"736,434","861,790",25.415B,0.97,22.56,5.86,"Feb 15, 2022 - Feb 21, 2022",2.68 (2.03%),"Mar 14, 2022",N/A
191,IT,334.32,334.53,300.00 x 1100,321.96 x 800,319.98 - 334.53,149.74 - 369.00,"379,048","436,057",26.478B,1.55,40.12,8.02,"Feb 07, 2022 - Feb 11, 2022",N/A (N/A),"Jul 19, 1999",358.33
192,GNRC,317.39,316.15,310.00 x 1100,330.00 x 1100,311.09 - 324.26,243.21 - 524.31,"1,003,218","788,911",19.971B,0.96,38.45,8.23,"Feb 09, 2022 - Feb 14, 2022",N/A (N/A),"Jun 10, 2013",514.11
193,GD,210.61,210.61,0.00 x 1000,209.99 x 900,209.45 - 211.64,146.53 - 214.70,"636,559","973,117",59.07B,1.09,18.16,11.65,"Jan 26, 2022",4.76 (2.26%),"Jan 13, 2022",230.41
194,GE,102.24,102.29,102.22 x 900,102.48 x 1200,101.80 - 103.65,85.12 - 116.17,"4,232,237","6,597,320",112.515B,1.04,N/A,-0.42,"Jan 25, 2022",0.32 (0.31%),"Dec 20, 2021",120.39
195,GIS,68.33,68.37,68.89 x 900,68.90 x 800,68.07 - 69.34,54.31 - 69.68,"2,489,390","3,175,603",41.561B,0.52,18.99,3.63,"Mar 22, 2022 - Mar 28, 2022",2.04 (2.99%),"Jan 07, 2022",65.73
196,GM,61.03,61.45,61.67 x 1200,61.74 x 1000,61.15 - 63.38,47.07 - 67.21,"18,458,974","18,614,019",89.681B,1.18,8.27,7.47,"Feb 01, 2022",N/A (N/A),"Mar 05, 2020",76.65
197,GPC,138.94,138.65,137.77 x 900,137.77 x 1000,136.51 - 138.87,93.62 - 142.97,"278,585","591,426",19.607B,1.09,24.54,5.61,"Feb 15, 2022 - Feb 21, 2022",3.26 (2.35%),"Dec 02, 2021",141.00
198,GILD,72.25,71.99,71.80 x 1200,72.10 x 1000,71.45 - 72.46,61.39 - 74.12,"6,614,942","7,092,857",90.165B,0.36,12.30,5.84,"Feb 02, 2022 - Feb 07, 2022",2.84 (3.92%),"Dec 14, 2021",77.08
199,GPN,147.01,147.50,0.00 x 900,0.00 x 900,146.04 - 149.86,116.75 - 220.81,"1,831,054","2,953,668",43.26B,1.12,47.08,3.17,"Feb 07, 2022 - Feb 11, 2022",1.00 (0.68%),"Dec 15, 2021",190.24
200,GS,390.31,394.05,389.00 x 900,390.60 x 1000,389.75 - 396.86,270.62 - 426.16,"2,442,594","2,580,101",130.362B,1.50,6.45,60.63,"Jan 18, 2022",8.00 (1.98%),"Dec 01, 2021",459.10
201,GWW,518.24,517.51,508.77 x 900,509.36 x 1200,504.42 - 521.39,356.23 - 527.06,"117,697","224,728",26.194B,1.24,29.06,17.50,"Feb 03, 2022",6.48 (1.25%),"Nov 05, 2021",500.58
202,HAL,27.44,27.70,27.95 x 900,27.96 x 4000,27.57 - 28.28,17.23 - 28.28,"14,700,162","9,435,253",25.001B,2.76,62.48,0.45,"Jan 24, 2022",0.18 (0.66%),"Dec 08, 2021",29.71
203,HAS,101.78,102.22,101.68 x 1000,101.71 x 800,100.90 - 102.87,86.05 - 104.89,"434,124","803,393",14.035B,1.02,31.04,3.28,"Feb 07, 2022 - Feb 11, 2022",2.72 (2.67%),"Jan 31, 2022",115.92
204,HCA,249.30,249.92,256.79 x 900,257.21 x 1000,249.43 - 258.24,156.43 - 269.75,"492,435","1,394,933",80.158B,1.66,13.19,19.53,"Jan 27, 2022",1.92 (0.77%),"Dec 13, 2021",290.65
205,HSY,195.84,195.84,196.39 x 800,196.41 x 800,195.25 - 197.29,143.58 - 198.64,"511,958","841,019",40.529B,0.42,28.56,6.89,"Feb 03, 2022",3.60 (1.84%),"Nov 18, 2021",194.36
206,HES,91.58,91.55,90.51 x 1100,90.50 x 800,90.37 - 93.35,53.43 - 93.35,"2,708,065","1,979,611",28.064B,2.00,143.14,0.63,"Jan 26, 2022",1.00 (1.09%),"Dec 14, 2021",107.38
207,HPE,17.15,17.25,17.10 x 3000,17.49 x 900,17.07 - 17.59,11.80 - 17.59,"9,507,376","10,640,784",22.622B,1.24,6.78,2.58,"Feb 28, 2022 - Mar 04, 2022",0.48 (2.82%),"Dec 09, 2021",17.76
208,HLT,150.00,150.59,150.02 x 1000,149.94 x 900,149.06 - 152.09,98.57 - 159.21,"1,765,122","2,011,093",41.78B,1.27,"1,070.71",0.14,"Feb 15, 2022 - Feb 21, 2022",N/A (N/A),"Feb 27, 2020",149.42
209,HOLX,72.33,71.72,72.13 x 1000,72.14 x 800,71.54 - 72.48,60.10 - 85.00,"1,002,590","1,532,766",18.138B,1.11,10.01,7.21,"Feb 02, 2022",N/A (N/A),N/A,85.55
210,HD,389.40,392.51,386.00 x 1200,386.98 x 800,385.86 - 394.31,246.59 - 420.61,"3,383,186","3,652,566",404.1B,0.99,25.88,14.95,"Feb 22, 2022",6.60 (1.69%),"Dec 01, 2021",417.90
211,HON,218.25,218.40,219.17 x 1000,219.15 x 900,218.07 - 221.89,194.55 - 236.86,"3,075,914","2,806,784",151.061B,1.17,28.24,7.77,"Jan 27, 2022 - Jan 31, 2022",3.92 (1.80%),"Nov 10, 2021",235.83
212,HRL,49.03,49.10,49.41 x 2200,49.48 x 800,48.78 - 49.62,40.48 - 50.86,"1,589,067","2,173,957",26.863B,0.06,29.83,1.66,"Feb 16, 2022 - Feb 21, 2022",1.04 (2.12%),"Jan 14, 2022",46.75
213,HST,17.35,17.45,18.32 x 1400,18.33 x 1100,17.45 - 18.43,13.16 - 19.02,"4,007,498","7,172,596",13.095B,1.36,N/A,-0.56,"Feb 16, 2022 - Feb 21, 2022",N/A (N/A),"Mar 30, 2020",19.42
214,HWM,31.13,31.00,31.13 x 900,31.15 x 1300,30.78 - 31.27,22.91 - 36.03,"144,745","2,832,985",13.336B,1.60,47.22,0.66,"Feb 01, 2022 - Feb 07, 2022",0.08 (0.26%),"Nov 04, 2021",38.73
215,HPQ,38.99,39.15,38.78 x 4000,38.78 x 3200,38.65 - 39.33,24.07 - 39.65,"9,255,433","10,234,028",41.901B,1.02,7.26,5.33,"Feb 23, 2022 - Feb 28, 2022",1.00 (2.56%),"Dec 07, 2021",36.88
216,HUM,391.66,390.56,394.65 x 800,395.72 x 800,389.65 - 398.46,351.20 - 475.44,"1,385,493","981,138",50.807B,0.94,19.27,20.51,"Feb 02, 2022",2.80 (0.71%),"Dec 30, 2021",491.00
217,HBAN,17.09,17.24,17.32 x 4000,17.33 x 40700,17.14 - 17.44,13.01 - 17.47,"12,133,983","9,861,826",25.554B,1.30,19.43,0.89,"Jan 21, 2022",0.62 (3.63%),"Dec 16, 2021",17.91
218,HII,196.20,197.31,195.97 x 800,195.94 x 1200,193.88 - 198.01,156.36 - 224.13,"177,110","285,333",7.886B,1.02,11.81,16.67,"Feb 09, 2022 - Feb 14, 2022",4.72 (2.41%),"Nov 24, 2021",220.64
219,IDXX,554.63,556.46,535.73 x 800,537.23 x 1200,533.47 - 556.53,455.23 - 706.95,"381,593","367,593",45.297B,0.95,61.28,8.72,"Feb 02, 2022",N/A (N/A),N/A,706.17
220,ITW,246.13,245.45,243.16 x 1000,243.39 x 1100,241.79 - 245.45,192.89 - 249.81,"686,959","909,595",76.537B,1.12,28.36,8.60,"Feb 03, 2022 - Feb 07, 2022",4.88 (1.98%),"Dec 30, 2021",242.33
221,ILMN,413.37,414.56,399.88 x 900,406.36 x 1300,398.44 - 414.56,341.03 - 555.77,"1,134,263","971,019",62.443B,0.89,65.40,6.11,"Feb 09, 2022 - Feb 14, 2022",N/A (N/A),N/A,429.94
222,INCY,73.62,72.94,73.92 x 800,75.40 x 900,72.79 - 74.23,61.91 - 101.47,"1,178,431","2,240,665",16.269B,0.73,30.53,2.41,"Feb 07, 2022 - Feb 11, 2022",N/A (N/A),N/A,92.38
223,IR,59.74,59.88,60.46 x 800,60.50 x 1100,59.79 - 60.63,40.64 - 62.06,"142,965","1,987,230",24.671B,1.47,61.33,0.99,"Feb 21, 2022 - Feb 25, 2022",0.08 (0.13%),"Nov 09, 2021",67.14
224,INTC,55.74,56.00,54.90 x 1100,54.91 x 1300,54.77 - 56.20,47.87 - 68.49,"29,022,518","33,952,706",223.441B,0.52,10.65,5.16,"Jan 19, 2022 - Jan 24, 2022",1.39 (2.49%),"Nov 04, 2021",55.69
225,ICE,133.25,132.26,131.51 x 900,134.27 x 1100,130.45 - 132.73,108.95 - 139.79,"2,078,598","2,074,617",74.088B,0.82,24.26,5.42,"Feb 03, 2022",1.32 (0.99%),"Dec 16, 2021",157.56
226,IBM,133.59,133.90,134.61 x 900,134.73 x 1300,133.56 - 136.05,112.20 - 146.12,"4,754,618","6,318,825",120.788B,1.13,25.51,5.28,"Jan 24, 2022",6.56 (4.91%),"Nov 09, 2021",144.77
227,IP,48.49,48.69,49.20 x 1400,49.21 x 900,48.64 - 49.74,43.87 - 61.81,"2,299,221","3,483,080",19.092B,0.96,10.86,4.54,"Jan 27, 2022",1.85 (3.82%),"Feb 17, 2022",54.31
