,ticker,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
48,AZO,"2,052.88","2,058.04","1,960.11 x 2200","2,050.05 x 1000","2,042.60 - 2,077.07","1,111.71 - 2,110.00","91,189","159,095",42.268B,0.88,19.97,102.57,"Feb 28, 2022 - Mar 04, 2022",N/A (N/A),N/A,"2,197.29"
49,AVB,252.59,255.91,252.24 x 1000,252.45 x 800,248.76 - 255.79,154.84 - 255.79,"359,885","626,503",35.264B,0.95,34.88,7.24,"Feb 01, 2022 - Feb 07, 2022",6.36 (2.52%),"Dec 30, 2021",254.83
50,AVY,216.57,216.81,212.19 x 900,212.29 x 800,211.69 - 216.93,147.40 - 229.24,"192,550","412,333",17.534B,1.00,23.78,8.91,"Feb 01, 2022 - Feb 07, 2022",2.72 (1.26%),"Nov 30, 2021",241.18
51,BKR,26.73,26.41,26.28 x 1000,26.60 x 800,26.18 - 27.00,18.75 - 27.66,"9,170,371","8,769,330",22.854B,1.62,145.94,0.18,"Jan 20, 2022",0.72 (2.67%),"Nov 01, 2021",29.56
52,BLL,96.27,95.96,93.55 x 1400,93.59 x 1000,92.84 - 96.03,77.95 - 98.09,"774,211","1,728,396",30.245B,0.48,38.46,2.43,"Jan 27, 2022",0.80 (0.83%),"Nov 30, 2021",101.88
53,BAC,48.86,48.92,48.70 x 1300,48.81 x 1000,48.63 - 49.49,29.57 - 50.08,"42,481,796","46,524,960",399.056B,1.49,14.60,3.34,"Jan 19, 2022",0.84 (1.71%),"Dec 02, 2021",51.08
54,BBWI,58.67,59.09,57.17 x 900,57.28 x 800,57.05 - 59.50,29.18 - 82.00,"2,748,559","2,836,711",14.783B,1.70,9.99,5.74,"Feb 23, 2022",0.60 (1.02%),"Nov 18, 2021",N/A
55,BAX,87.45,87.37,86.34 x 1000,86.36 x 800,85.93 - 87.69,73.12 - 88.91,"1,519,327","2,345,119",43.3B,0.64,36.40,2.38,"Feb 17, 2022",1.12 (1.28%),"Dec 02, 2021",97.80
56,BDX,261.91,261.11,249.00 x 1000,267.00 x 800,259.29 - 263.84,235.13 - 265.23,"1,272,873","1,333,626",75.163B,0.72,38.49,6.85,"Feb 03, 2022",3.48 (1.33%),"Dec 09, 2021",270.23
57,BBY,102.50,101.74,102.28 x 800,104.46 x 1000,98.22 - 102.96,94.54 - 141.97,"5,299,858","3,076,062",24.718B,1.56,9.93,10.34,"Feb 23, 2022 - Feb 28, 2022",2.80 (2.73%),"Dec 13, 2021",127.31
